,inc0,inc1,incdiff,lats,lngs,pop0,pop1,popdiff
0,3183493688432.1167,3520957355941.061,337463667508.94434,41.407440185546875,-72.6310806274414,66212578.87954668,62741227.54229615,-3471351.3372505307
1,2077145397342.4998,3688085384532.7026,1610939987190.203,41.407440185546875,-72.58795928955078,51090346.936753996,63457127.35649587,12366780.419741876
2,2144175883869.088,3613999906311.751,1469824022442.663,41.407440185546875,-72.56640625,52568109.704668656,65996687.107351996,13428577.40268334
3,2096130075635.6084,3553322476551.12,1457192400915.5117,41.407440185546875,-72.54484558105469,51122733.076534,62817960.6409823,11695227.564448297
4,3332759948938.6426,3252382722792.2964,-80377226146.34619,41.407440185546875,-72.48016357421875,77358460.31750584,88139735.49813583,10781275.180629998
5,6345340835577.457,6310255359547.6455,-35085476029.81152,41.407440185546875,-72.45860290527344,143416485.4905885,160810678.79441884,17394193.303830355
6,10646987007183.385,10143541280904.541,-503445726278.84375,41.407440185546875,-72.43704223632812,240409394.37908214,240448093.1977001,38698.81861796975
7,2766211237943.1226,2967630113890.47,201418875947.34766,41.407440185546875,-72.26457214355469,60137420.82061241,66394352.01131078,6256931.19069837
8,2851038121089.62,3070755783267.6636,219717662178.04346,41.407440185546875,-72.24301147460938,60805061.70883096,67037673.28118217,6232611.57235121
9,4336310990593.7573,4710098600510.545,373787609916.7876,41.407440185546875,-72.22145080566406,103834405.71960363,114244340.87868938,10409935.15908575
10,2250972078198.8564,2465007599448.7544,214035521249.89795,41.407440185546875,-72.19989013671875,68017904.84061179,78708621.38891499,10690716.548303202
11,1931763650407.394,2171583867248.0063,239820216840.6123,41.407440185546875,-72.17832946777344,60531373.46817452,69758052.17539535,9226678.707220837
12,2585620800555.204,2775097487901.573,189476687346.36914,41.407440185546875,-72.15676879882812,74768461.98045884,82242601.44445074,7474139.463991895
13,7508154131786.219,7276257016754.288,-231897115031.93066,41.407440185546875,-72.13520812988281,191077598.9656442,202377346.44521374,11299747.479569525
14,7357299978652.802,8732944961487.812,1375644982835.0098,41.407440185546875,-72.11365509033203,244219154.9359889,252365143.2432655,8145988.307276607
15,8709551972160.863,10347678170150.576,1638126197989.713,41.407440185546875,-72.0705337524414,286440330.0082298,314470923.83964264,28030593.83141285
16,5688353897890.578,7782837753996.901,2094483856106.3232,41.407440185546875,-72.0489730834961,196716534.09120882,193219667.7951133,-3496866.2960955203
17,4831996504166.653,6396034495192.486,1564037991025.833,41.407440185546875,-72.02741241455078,137577167.15693587,176822367.59356865,39245200.43663278
18,3750798784670.6167,4950098232892.246,1199299448221.6294,41.407440185546875,-72.00585174560547,105515564.37501027,135062941.64148822,29547377.266477957
