,inc0,inc1,incdiff,lats,lngs,pop0,pop1,popdiff
0,9181885641397.512,9858737956159.39,676852314761.8789,41.64459228515625,-70.60448455810547,231633114.4320202,223349794.30227742,-8283320.129742771
1,3319740837627.289,3287779436021.478,-31961401605.811035,41.64459228515625,-70.58292388916016,71943713.63867533,91466004.45612934,19522290.81745401
2,4326317703936.489,4691345646242.207,365027942305.71826,41.64459228515625,-70.51824188232422,148169554.281649,183977711.13594773,35808156.85429874
3,5183057258818.572,5093488403299.573,-89568855518.99902,41.64459228515625,-70.4966812133789,160604339.26647475,178126490.65886205,17522151.3923873
4,9676769229741.63,8758316434497.931,-918452795243.7002,41.64459228515625,-70.47512817382812,325621225.92082036,325906489.11773014,285263.19690978527
5,11471813078014.975,13410976928603.682,1939163850588.707,41.64459228515625,-70.45356750488281,427067106.1636963,441452216.00594527,14385109.842248976
6,9377822162195.611,10181093264508.533,803271102312.9219,41.64459228515625,-70.4320068359375,280775708.4326793,257567093.5728316,-23208614.859847695
7,13829774434764.188,14399072647694.482,569298212930.2949,41.64459228515625,-70.38888549804688,328921453.33627903,360167102.29654735,31245648.96026832
8,22438627724040.344,16943300402101.82,-5495327321938.523,41.64459228515625,-70.36732482910156,467779348.65158314,450495236.2815933,-17284112.369989812
9,17354931992319.736,15582374282597.113,-1772557709722.623,41.64459228515625,-70.32421112060547,557940139.8775129,457993138.15395486,-99947001.72355807
10,25002524804450.17,20539119954453.027,-4463404849997.145,41.64459228515625,-70.30265045166016,927267286.1099062,808144123.1084803,-119123163.00142586
11,8487514065564.82,15558212310353.586,7070698244788.766,41.6230354309082,-72.6310806274414,178244552.37471083,187818673.003475,9574120.628764182
12,2666278815533.0156,3645718802306.5146,979439986773.499,41.6230354309082,-72.6095199584961,59633096.47608024,67066139.8696522,7433043.393571958
13,2399852593839.7705,3111606627286.42,711754033446.6494,41.6230354309082,-72.58795928955078,55692828.44730766,62703885.88287334,7011057.43556568
14,2199616124630.623,2860489888469.4194,660873763838.7964,41.6230354309082,-72.56640625,51262268.37849457,57994369.43788086,6732101.059386291
15,2154307478650.8882,3192534501356.8267,1038227022705.9385,41.6230354309082,-72.54484558105469,52600546.45290639,63215434.94071871,10614888.487812318
16,2512058231058.0415,5075260805116.196,2563202574058.155,41.6230354309082,-72.52328491210938,72668606.54903094,98875956.21018304,26207349.661152095
17,2434970518529.687,4672882512486.2295,2237911993956.5425,41.6230354309082,-72.50172424316406,66730117.906269066,89412900.36618662,22682782.459917553
18,5735742822603.144,5846957850184.626,111215027581.48242,41.6230354309082,-72.48016357421875,134624657.68076774,131563280.17818831,-3061377.5025794357
19,5456408951325.298,5978689075229.139,522280123903.8408,41.6230354309082,-72.45860290527344,130235200.11937289,138058069.09671596,7822868.9773430675
20,2931061131215.732,2935535009380.781,4473878165.048828,41.6230354309082,-72.43704223632812,58399282.38335042,72754224.55392529,14354942.170574874
21,3275251100452.771,3539356154147.381,264105053694.60986,41.6230354309082,-72.41548919677734,67452340.44166699,84415239.9559623,16962899.51429531
22,4078121095359.388,4883772443416.643,805651348057.2544,41.6230354309082,-72.39392852783203,91312353.27015579,105984984.87915407,14672631.608998284
23,3878759568909.13,4425788369224.477,547028800315.3467,41.6230354309082,-72.37236785888672,90701194.34569739,89718782.9930857,-982411.3526116908
24,4140525681588.7734,5027131631914.538,886605950325.7646,41.6230354309082,-72.3508071899414,91503659.58928521,111076667.3933177,19573007.80403249
25,3384195681908.177,3719823896333.8726,335628214425.6958,41.6230354309082,-72.3292465209961,80329850.83871435,91049130.64876758,10719279.81005323
26,2008057610368.8037,1401900081120.0916,-606157529248.7122,41.6230354309082,-72.30768585205078,57666972.62134088,48258009.327102326,-9408963.294238552
27,1643456511336.1636,1645157524740.4395,1701013404.275879,41.6230354309082,-72.28612518310547,54476614.898164466,51863668.34651706,-2612946.5516474023
28,1460489441236.7185,1817698045588.3787,357208604351.66016,41.6230354309082,-72.26457214355469,53414525.25102758,54815561.978923365,1401036.7278957888
29,1460489441236.7185,1817698045588.3787,357208604351.66016,41.6230354309082,-72.24301147460938,53414525.25102758,54815561.978923365,1401036.7278957888
30,1842800242463.9045,1849480223072.7283,6679980608.82373,41.6230354309082,-72.22145080566406,50943696.77815333,52431629.88047234,1487933.1023190096
31,2364995052653.114,1922019250393.2385,-442975802259.87524,41.6230354309082,-72.19989013671875,49390112.2226163,50369000.64724641,978888.424630113
32,2078583625780.8438,2410634542626.5107,332050916845.667,41.6230354309082,-72.11365509033203,70784407.5530838,77803952.99489164,7019545.441807836
33,3078431197646.052,3723096403576.6157,644665205930.564,41.6230354309082,-72.09209442138672,114136776.14364183,124134943.37550871,9998167.231866881
34,2136666788548.852,2235539961539.2417,98873172990.38965,41.6230354309082,-72.0705337524414,70264632.2927251,63966198.934757605,-6298433.357967496
35,2064539725665.9365,2186634203423.3296,122094477757.39307,41.6230354309082,-72.0489730834961,65753340.32018533,58496671.389505684,-7256668.930679649
36,2920933697183.061,4378228069900.183,1457294372717.122,41.6230354309082,-72.02741241455078,91086397.20326304,102714006.73768766,11627609.534424618
37,3061750757889.321,4733814116837.539,1672063358948.2183,41.6230354309082,-72.00585174560547,94997918.75678946,109330788.40307659,14332869.646287128
38,7558978305584.279,10744214894924.135,3185236589339.8555,41.6230354309082,-71.98429107666016,267720938.73178992,341447378.668697,73726439.93690708
39,5826770055230.014,5898781426171.642,72011370941.62793,41.6230354309082,-71.96273803710938,198396920.69906056,222235266.8628403,23838346.163779736
40,2751220542224.3413,2938728970756.1123,187508428531.771,41.6230354309082,-71.94117736816406,91240700.92755194,111213993.39438464,19973292.466832697
41,1878947280082.3865,1859763674159.781,-19183605922.60547,41.6230354309082,-71.91961669921875,59381015.24243795,62536528.12971724,3155512.887279287
42,1878947280082.3865,1859763674159.781,-19183605922.60547,41.6230354309082,-71.89805603027344,59381015.24243795,62536528.12971724,3155512.887279287
43,3471700617438.6343,3359850884316.483,-111849733122.15137,41.6230354309082,-71.5531005859375,63251398.31729376,70609941.65697795,7358543.339684188
44,11093089500132.447,9163453825054.44,-1929635675078.0078,41.6230354309082,-71.53153991699219,166343438.7675592,192318198.74404237,25974759.976483166
45,9406699977788.713,10086250603724.98,679550625936.2676,41.6230354309082,-71.5099868774414,150591467.55570707,158332042.920575,7740575.364867926
46,12166690390771.268,14067623262250.852,1900932871479.584,41.6230354309082,-71.4884262084961,236200207.80667856,231948048.78207505,-4252159.024603516
47,17649874149317.055,18847901554572.43,1198027405255.375,41.6230354309082,-71.46686553955078,535509027.03330725,561191780.3932813,25682753.359974086
48,18708164209379.273,15210069885267.643,-3498094324111.631,41.6230354309082,-71.44530487060547,504914984.7493143,432720750.7334831,-72194234.01583123
