,fips,values,colors
0,1001,0.021718589511392793,#74c476
1,1003,0.010710063998845989,#74c476
2,1005,-0.03371650998698971,#a1d99b
3,1007,0.0,#ffffff
4,1009,0.0,#ffffff
5,1011,0.0,#ffffff
6,1013,0.05322062198944916,#74c476
7,1015,0.0,#ffffff
8,1017,0.0,#ffffff
9,1019,0.0,#ffffff
10,1021,0.0,#ffffff
11,1023,0.0,#ffffff
12,1025,0.0,#ffffff
13,1027,0.0,#ffffff
14,1029,0.0,#ffffff
15,1031,0.0,#ffffff
16,1033,0.0,#ffffff
17,1035,0.0,#ffffff
18,1037,0.0,#ffffff
19,1039,0.0,#ffffff
20,1041,0.0,#ffffff
21,1043,0.0,#ffffff
22,1045,0.0,#ffffff
23,1047,0.0,#ffffff
24,1049,0.0,#ffffff
25,1051,0.0,#ffffff
26,1053,0.0,#ffffff
27,1055,0.07052763603366684,#74c476
28,1057,0.0,#ffffff
29,1059,0.0,#ffffff
30,1061,0.0,#ffffff
31,1063,0.0,#ffffff
32,1065,0.0,#ffffff
33,1067,0.0,#ffffff
34,1069,0.0,#ffffff
35,1071,0.0,#ffffff
36,1073,0.0,#ffffff
37,1075,0.0,#ffffff
38,1077,0.0,#ffffff
39,1079,0.020095740167520887,#74c476
40,1081,0.0,#ffffff
41,1083,0.0,#ffffff
42,1085,0.0,#ffffff
43,1087,0.0,#ffffff
44,1089,0.0,#ffffff
45,1091,0.0808401225509151,#74c476
46,1093,0.0,#ffffff
47,1095,-0.016737215751348036,#a1d99b
48,1097,0.0,#ffffff
49,1099,0.02162736779323664,#74c476
50,1101,0.0,#ffffff
51,1103,0.0,#ffffff
52,1105,0.007994371745442793,#a1d99b
53,1107,0.0,#ffffff
54,1109,0.0720072017486484,#74c476
55,1111,0.0,#ffffff
56,1113,0.002378455541579737,#a1d99b
57,1115,0.006630929909406012,#a1d99b
58,1117,0.00474686962548228,#a1d99b
59,1119,-0.045992505379615536,#a1d99b
60,1121,0.019593630408474335,#74c476
61,1123,0.02779184909537727,#74c476
62,1125,0.023198367191333173,#74c476
63,1127,0.03898330319144481,#74c476
64,1129,0.0012744098429396948,#a1d99b
65,1131,0.04651004842853545,#74c476
66,1133,0.0,#ffffff
67,4001,0.06046369044734374,#74c476
68,4003,-0.022897439496758418,#a1d99b
69,4005,-0.0013736577811722698,#a1d99b
70,4007,0.0,#ffffff
71,4009,0.02797991760999739,#74c476
72,4011,0.0,#ffffff
73,4012,0.002842378542981929,#a1d99b
74,4013,-0.0024008662269667837,#a1d99b
75,4015,0.0,#ffffff
76,4017,0.008495823779079575,#a1d99b
77,4019,0.0,#ffffff
78,4021,0.0,#ffffff
79,4023,0.0,#ffffff
80,4025,0.022035028901334436,#74c476
81,4027,0.022879884819695554,#74c476
82,5001,0.008656995848306991,#a1d99b
83,5003,-0.04058247120990112,#a1d99b
84,5005,0.0,#ffffff
85,5007,0.0,#ffffff
86,5009,0.0,#ffffff
87,5011,0.0,#ffffff
88,5013,0.0,#ffffff
89,5015,-0.016410311222696188,#a1d99b
90,5017,-0.022216601688727262,#a1d99b
91,5019,0.025816677603185446,#74c476
92,5021,0.026421942908835618,#74c476
93,5023,0.007053099399568183,#a1d99b
94,5025,0.0341155469610591,#74c476
95,5027,-0.0030337225417960537,#a1d99b
96,5029,0.025238600574313885,#74c476
97,5031,0.02450593369682445,#74c476
98,5033,0.04602733207463047,#74c476
99,5035,0.0370255432119225,#74c476
100,5037,0.03891132068043927,#74c476
101,5039,0.04051303480053742,#74c476
102,5041,0.16616495819395716,#74c476
103,5043,0.03828043117204573,#74c476
104,5045,0.0,#ffffff
105,5047,0.1492444979856261,#74c476
106,5049,0.4072594597271527,#238b45
107,5051,0.0,#ffffff
108,5053,0.01784636245350298,#74c476
109,5055,-0.042258413321339075,#a1d99b
110,5057,0.1270863028309202,#74c476
